week_start,region,channel,campaign,spend,impressions
2025-09-01,North,Direct,AlwaysOn,195234.42,109564
2025-09-01,North,Partner,AlwaysOn,169055.39,103653
2025-09-01,North,Online,AlwaysOn,79151.37,37726
2025-09-01,South,Direct,AlwaysOn,150625.35,68405
2025-09-01,South,Partner,AlwaysOn,110084.22,65861
2025-09-01,South,Online,AlwaysOn,76736.43,36513
2025-09-01,East,Direct,AlwaysOn,134644.4,58969
2025-09-01,East,Partner,AlwaysOn,99087.85,55886
2025-09-01,East,Online,AlwaysOn,66862.96,38718
2025-09-01,West,Direct,AlwaysOn,211374.33,95588
2025-09-01,West,Partner,AlwaysOn,170260.76,86022
2025-09-01,West,Online,AlwaysOn,102948.79,46718
2025-09-08,North,Direct,AlwaysOn,197386.14,82798
2025-09-08,North,Partner,AlwaysOn,150703.8,65279
2025-09-08,North,Online,AlwaysOn,98064.81,60679
2025-09-08,South,Direct,AlwaysOn,175160.91,93484
2025-09-08,South,Partner,AlwaysOn,131742.56,57214
2025-09-08,South,Online,AlwaysOn,74295.53,38724
2025-09-08,East,Direct,AlwaysOn,134813.77,71097
2025-09-08,East,Partner,AlwaysOn,106801.59,62621
2025-09-08,East,Online,AlwaysOn,55710.64,33797
2025-09-08,West,Direct,AlwaysOn,192214.69,97252
2025-09-08,West,Partner,AlwaysOn,164696.21,84811
2025-09-08,West,Online,AlwaysOn,111239.9,50093
2025-09-15,North,Direct,AlwaysOn,195557.66,81750
2025-09-15,North,Partner,AlwaysOn,118879.11,67454
2025-09-15,North,Online,AlwaysOn,77893.92,38155
2025-09-15,South,Direct,AlwaysOn,158635.2,96473
2025-09-15,South,Partner,AlwaysOn,123721.47,64400
2025-09-15,South,Online,AlwaysOn,66500.4,39502
2025-09-15,East,Direct,AlwaysOn,140901.12,67638
2025-09-15,East,Partner,AlwaysOn,95949.16,51669
2025-09-15,East,Online,AlwaysOn,58515.19,25013
2025-09-15,West,Direct,AlwaysOn,259276.45,114614
2025-09-15,West,Partner,AlwaysOn,178840.71,84597
2025-09-15,West,Online,AlwaysOn,95083.35,44223
2025-09-22,North,Direct,AlwaysOn,178422.36,77285
2025-09-22,North,Partner,AlwaysOn,135467.9,59940
2025-09-22,North,Online,AlwaysOn,78582.21,41142
2025-09-22,South,Direct,AlwaysOn,164190.18,71217
2025-09-22,South,Partner,AlwaysOn,120818.03,52222
2025-09-22,South,Online,AlwaysOn,72644.87,43765
2025-09-22,East,Direct,AlwaysOn,155870.47,73581
2025-09-22,East,Partner,AlwaysOn,114795.59,68372
2025-09-22,East,Online,AlwaysOn,52848.44,31599
2025-09-22,West,Direct,AlwaysOn,239494.01,129065
2025-09-22,West,Partner,AlwaysOn,163317.13,79751
2025-09-22,West,Online,AlwaysOn,96554.92,44723
2025-09-29,North,Direct,AlwaysOn,193817.86,107939
2025-09-29,North,Partner,AlwaysOn,123868.51,55810
2025-09-29,North,Online,AlwaysOn,70625.2,42040
2025-09-29,South,Direct,AlwaysOn,147990.02,61897
2025-09-29,South,Partner,AlwaysOn,131202.63,65947
2025-09-29,South,Online,AlwaysOn,63674.75,31320
2025-09-29,East,Direct,AlwaysOn,147979.61,66595
2025-09-29,East,Partner,AlwaysOn,112488.28,48457
2025-09-29,East,Online,AlwaysOn,62546.27,38125
2025-09-29,West,Direct,AlwaysOn,211229.82,106166
2025-09-29,West,Partner,AlwaysOn,167449.69,80550
2025-09-29,West,Online,AlwaysOn,106008.06,61035
2025-10-06,North,Direct,AlwaysOn,194487.95,88298
2025-10-06,North,Partner,AlwaysOn,151699.81,89454
2025-10-06,North,Online,AlwaysOn,82949.94,34878
2025-10-06,South,Direct,AlwaysOn,172961.88,73140
2025-10-06,South,Partner,AlwaysOn,114117.12,70224
2025-10-06,South,Online,AlwaysOn,56520.88,32876
2025-10-06,East,Direct,AlwaysOn,149853.57,73164
2025-10-06,East,Partner,AlwaysOn,96156.0,52134
2025-10-06,East,Online,AlwaysOn,63452.87,28412
2025-10-06,West,Direct,AlwaysOn,176440.78,87790
2025-10-06,West,Partner,AlwaysOn,178715.17,87536
2025-10-06,West,Online,AlwaysOn,105137.81,47897
2025-10-13,North,Direct,AlwaysOn,210803.03,121174
2025-10-13,North,Partner,AlwaysOn,155202.42,90815
2025-10-13,North,Online,AlwaysOn,93227.18,43756
2025-10-13,South,Direct,AlwaysOn,167534.42,88933
2025-10-13,South,Partner,AlwaysOn,113500.35,55677
