date,order_id,account_name,region,channel,category,product_id,units,unit_price,unit_cost,revenue,cost
2025-09-01,SO100001,Meridian Group,North,Direct,Aurora,AUR-516,8,2464.11,1500.0,19712.88,12000.0
2025-09-01,SO100002,Kalpana Traders,North,Direct,Aurora,AUR-361,11,2391.25,1500.0,26303.75,16500.0
2025-09-01,SO100003,Meridian Group,North,Partner,Aurora,AUR-122,14,2399.88,1500.0,33598.32,21000.0
2025-09-01,SO100004,Kalpana Traders,North,Partner,Aurora,AUR-264,5,2401.47,1500.0,12007.35,7500.0
2025-09-01,SO100005,Meridian Group,North,Online,Aurora,AUR-486,7,2393.17,1500.0,16752.19,10500.0
2025-09-01,SO100006,Kalpana Traders,North,Online,Aurora,AUR-686,6,2343.98,1500.0,14063.88,9000.0
2025-09-01,SO100007,Meridian Group,North,Direct,Vertex,VER-780,19,1125.09,790.0,21376.71,15010.0
2025-09-01,SO100008,Kalpana Traders,North,Direct,Vertex,VER-614,13,1148.66,790.0,14932.58,10270.0
2025-09-01,SO100009,Meridian Group,North,Partner,Vertex,VER-960,11,1147.94,790.0,12627.34,8690.0
2025-09-01,SO100010,Kalpana Traders,North,Partner,Vertex,VER-637,17,1177.91,790.0,20024.47,13430.0
2025-09-01,SO100011,Meridian Group,North,Online,Vertex,VER-222,7,1117.93,790.0,7825.51,5530.0
2025-09-01,SO100012,Kalpana Traders,North,Online,Vertex,VER-348,3,1151.25,790.0,3453.75,2370.0
2025-09-01,SO100013,Kalpana Traders,North,Direct,Halcyon,HAL-537,3,3909.61,2600.0,11728.83,7800.0
2025-09-01,SO100014,Meridian Group,North,Partner,Halcyon,HAL-878,3,3900.03,2600.0,11700.09,7800.0
2025-09-01,SO100015,Kalpana Traders,North,Partner,Halcyon,HAL-116,4,3881.06,2600.0,15524.24,10400.0
2025-09-01,SO100016,Meridian Group,North,Online,Halcyon,HAL-914,3,3907.53,2600.0,11722.59,7800.0
2025-09-01,SO100017,Kalpana Traders,North,Online,Halcyon,HAL-706,2,3939.03,2600.0,7878.06,5200.0
2025-09-01,SO100018,Deccan Supply,South,Direct,Aurora,AUR-948,10,2380.42,1500.0,23804.2,15000.0
2025-09-01,SO100019,Bluewater Co,South,Direct,Aurora,AUR-831,8,2419.4,1500.0,19355.2,12000.0
2025-09-01,SO100020,Deccan Supply,South,Partner,Aurora,AUR-997,5,2420.63,1500.0,12103.15,7500.0
2025-09-01,SO100021,Bluewater Co,South,Partner,Aurora,AUR-294,8,2403.43,1500.0,19227.44,12000.0
2025-09-01,SO100022,Deccan Supply,South,Online,Aurora,AUR-226,3,2402.97,1500.0,7208.91,4500.0
2025-09-01,SO100023,Bluewater Co,South,Online,Aurora,AUR-965,5,2402.83,1500.0,12014.15,7500.0
2025-09-01,SO100024,Deccan Supply,South,Direct,Vertex,VER-463,24,1154.51,790.0,27708.24,18960.0
2025-09-01,SO100025,Bluewater Co,South,Direct,Vertex,VER-328,8,1138.19,790.0,9105.52,6320.0
2025-09-01,SO100026,Deccan Supply,South,Partner,Vertex,VER-867,6,1155.89,790.0,6935.34,4740.0
2025-09-01,SO100027,Bluewater Co,South,Partner,Vertex,VER-952,8,1155.64,790.0,9245.12,6320.0
2025-09-01,SO100028,Deccan Supply,South,Online,Vertex,VER-461,10,1176.36,790.0,11763.6,7900.0
2025-09-01,SO100029,Bluewater Co,South,Online,Vertex,VER-222,7,1146.81,790.0,8027.67,5530.0
2025-09-01,SO100030,Deccan Supply,South,Direct,Halcyon,HAL-364,5,3909.19,2600.0,19545.95,13000.0
2025-09-01,SO100031,Bluewater Co,South,Direct,Halcyon,HAL-863,3,3868.42,2600.0,11605.26,7800.0
2025-09-01,SO100032,Deccan Supply,South,Partner,Halcyon,HAL-668,3,3926.1,2600.0,11778.3,7800.0
2025-09-01,SO100033,Bluewater Co,South,Partner,Halcyon,HAL-424,1,3891.33,2600.0,3891.33,2600.0
2025-09-01,SO100034,Bluewater Co,South,Online,Halcyon,HAL-694,1,3889.16,2600.0,3889.16,2600.0
2025-09-01,SO100035,Ganges Distributors,East,Direct,Aurora,AUR-601,9,2409.26,1500.0,21683.34,13500.0
2025-09-01,SO100036,Ironwood Ltd,East,Direct,Aurora,AUR-228,5,2425.87,1500.0,12129.35,7500.0
2025-09-01,SO100037,Ganges Distributors,East,Partner,Aurora,AUR-352,3,2427.95,1500.0,7283.85,4500.0
2025-09-01,SO100038,Ironwood Ltd,East,Partner,Aurora,AUR-625,3,2378.28,1500.0,7134.84,4500.0
2025-09-01,SO100039,Ganges Distributors,East,Online,Aurora,AUR-385,1,2409.91,1500.0,2409.91,1500.0
2025-09-01,SO100040,Ironwood Ltd,East,Online,Aurora,AUR-204,5,2445.44,1500.0,12227.2,7500.0
2025-09-01,SO100041,Ganges Distributors,East,Direct,Vertex,VER-206,17,1131.05,790.0,19227.85,13430.0
2025-09-01,SO100042,Ironwood Ltd,East,Direct,Vertex,VER-582,5,1143.03,790.0,5715.15,3950.0
2025-09-01,SO100043,Ganges Distributors,East,Partner,Vertex,VER-981,6,1160.44,790.0,6962.64,4740.0
2025-09-01,SO100044,Ironwood Ltd,East,Partner,Vertex,VER-510,5,1139.22,790.0,5696.1,3950.0
2025-09-01,SO100045,Ganges Distributors,East,Online,Vertex,VER-946,3,1133.14,790.0,3399.42,2370.0
2025-09-01,SO100046,Ironwood Ltd,East,Online,Vertex,VER-316,5,1158.77,790.0,5793.85,3950.0
2025-09-01,SO100047,Ganges Distributors,East,Direct,Halcyon,HAL-869,10,3921.8,2600.0,39218.0,26000.0
